date,positives,hospitalized
2020-12-29,696,150
2020-12-30,719,145
2020-12-31,555,139
2021-01-01,378,126
2021-01-02,329,127
2021-01-03,447,128
2021-01-04,526,129
2021-01-05,928,135
2021-01-06,803,129
2021-01-07,825,127
2021-01-08,683,140
2021-01-09,443,132
2021-01-10,554,136
2021-01-11,431,132
2021-01-12,714,118
2021-01-13,668,121
2021-01-14,454,163
2021-01-15,466,157
2021-01-16,243,150
2021-01-17,206,155
2021-01-18,382,153
2021-01-19,427,133
2021-01-20,432,128
2021-01-21,372,126
2021-01-22,301,131
2021-01-23,238,129
2021-01-24,276,135
2021-01-25,237,134
2021-01-26,280,122
2021-01-27,368,121
2021-01-28,319,104
2021-01-29,295,99
2021-01-30,218,86
2021-01-31,172,90
2021-02-01,299,96
2021-02-02,295,94
2021-02-03,282,96
2021-02-04,374,94
2021-02-05,276,94
2021-02-06,169,87
2021-02-07,119,91
2021-02-08,337,91
2021-02-09,231,94
2021-02-10,209,88
2021-02-11,264,82
2021-02-12,426,80
2021-02-13,149,76
2021-02-14,117,85
2021-02-15,352,86
2021-02-16,287,80
2021-02-17,361,69
2021-02-18,329,72
2021-02-19,283,77
2021-02-20,208,77
2021-02-21,217,86
2021-02-22,226,_
2021-02-23,390,_
2021-02-24,339,_
2021-02-25,548,_
2021-02-26,528,_
2021-02-27,262,_
2021-02-28,180,_
2021-03-01,730,102
2021-03-02,504,110
2021-03-03,684,105
2021-03-04,575,112
2021-03-05,689,119
2021-03-06,363,137
2021-03-07,395,139
2021-03-08,823,147
2021-03-09,720,155
2021-03-10,686,161
2021-03-11,874,159
2021-03-12,908,159
2021-03-13,838,177
2021-03-14,656,200
2021-03-15,866,221
2021-03-16,1150,224
2021-03-17,1064,227
2021-03-18,1034,235
2021-03-19,989,236
2021-03-20,820,232
2021-03-21,577,243
2021-03-22,1096,267
2021-03-23,1085,264
2021-03-24,984,265
2021-03-25,831,250
2021-03-26,1072,259
2021-03-27,462,263
2021-03-28,681,275
2021-03-29,989,285
2021-03-30,1069,287
2021-03-31,871,296
2021-04-01,691,287
2021-04-02,640,286
2021-04-03,692,306
2021-07-01,191,26
2021-07-02,241,29
2021-07-03,112,29
2021-07-04,88,29
2021-07-05,190,24
2021-07-06,225,28
2021-07-07,210,30
2021-07-08,224,25
2021-07-09,171,27
2021-07-10,134,27
2021-07-11,97,27
2021-07-12,172,26
2021-07-13,182,21
2021-07-14,172,20
2021-07-15,156,18
2021-07-16,219,17
2021-07-17,133,17
2021-07-18,109,17
2021-07-19,193,29
2021-07-20,251,25
2021-07-21,189,24
2021-07-22,265,21
2021-07-23,228,21
2021-07-24,168,22
2021-07-25,136,22
2021-07-26,330,24
2021-07-27,273,22
2021-07-28,354,21
2021-07-29,405,25
2021-07-30,344,17
2021-07-31,243,17
2021-08-01,239,17
2021-08-02,312,16
2021-08-03,475,19
2021-08-04,477,25
2021-08-05,556,30
2021-08-06,431,34
2021-08-07,262,32
2021-08-08,370,30
2021-08-09,497,25
2021-08-10,668,33
2021-08-11,587,32
2021-08-12,623,31
2021-08-13,556,25
2021-08-14,390,25
2021-08-15,324,25
2021-08-16,533,30
2021-08-17,749,32
2021-08-18,612,28
2021-08-19,685,32
2021-08-20,719,37
2021-08-21,559,37
2021-08-22,489,37
2021-08-23,907,51
2021-08-24,1094,52
2021-08-25,1295,56
2021-08-26,1415,65
2021-08-27,1552,60
2021-08-28,1047,60
2021-08-29,907,60
2021-08-30,1349,79
2021-08-31,1785,89
2021-09-01,1640,83
2021-09-02,1550,89
2021-09-03,1687,88
2021-09-04,1149,88
2021-09-05,1065,88
2021-09-06,_,94
2021-09-07,_,103
2021-09-08,_,97
2021-09-09,_,104
2021-09-10,_,116