Style,Colour,Sweet,Hoppy,Sour,Spicy,,,,,,,,,
Foreign Stout,0.9,0.6,0.5,0,0.5,,,,,,,,,
Lambic - Faro,0.7,0.4,0.4,0.5,0.6,,,,,,,,,
Imperial Stout,1,0.7,0.7,0,0.6,,,,,,,,,
Abbey Tripel,0.3,0.6,0.5,0,0.8,,,,,,,,,
American Dark Lager,0.6,0.6,0.4,0,0.6,,,,,,,,,
Abt/Quadrupel,0.7,1,0.5,0,0.6,,,,,,,,,
Dry Stout,0.8,0.3,0.4,0,0.4,,,,,,,,,
Classic German Pilsener,0.2,0.3,0.6,0,0.5,,,,,,,,,
Spice/Herb/Vegetable,0.3,0.5,0.5,0,1,,,,,,,,,
Malt Liquor,0.5,0.7,0.2,0,0.5,,,,,,,,,
Lambic - Unblended,0.3,0.1,0.4,1,0.5,,,,,,,,,
Belgian Strong Ale,0.3,0.8,0.5,0,0.7,,,,,,,,,
Imperial/Double IPA,0.6,0.7,1,0,0.7,,,,,,,,,
Perry,0,0.7,0,0,0.3,,,,,,,,,
Amber Ale,0.5,0.5,0.5,0,0.5,,,,,,,,,
German Kristallweizen,0.3,0.4,0.2,0,0.6,,,,,,,,,
American Strong Ale ,0.6,0.7,0.7,0,0.6,,,,,,,,,
Doppelbock,0.7,0.9,0.3,0,0.6,,,,,,,,,
Premium Bitter/ESB,0.5,0.5,0.5,0,0.6,,,,,,,,,
Bitter,0.4,0.5,0.5,0,0.6,,,,,,,,,
Porter,0.8,0.6,0.5,0,0.6,,,,,,,,,
Low Alcohol,0.1,0.2,0.2,0,0.3,,,,,,,,,
Old Ale,0.7,0.8,0.4,0,0.6,,,,,,,,,
Scottish Ale,0.7,0.7,0.4,0,0.6,,,,,,,,,
Pilsener,0.1,0.2,0.5,0,0.5,,,,,,,,,
Mild Ale,0.5,0.6,0.3,0,0.6,,,,,,,,,
Saké - Genshu,0,0.5,0,0,0.5,,,,,,,,,
Dunkel,0.7,0.6,0.4,0,0.6,,,,,,,,,
Cream Ale,0.5,0.6,0.4,0,0.6,,,,,,,,,
Altbier,0.5,0.4,0.5,0,0.6,,,,,,,,,
Lambic - Gueuze,0.3,0.1,0.3,1,0.5,,,,,,,,,
Irish Ale,0.5,0.5,0.4,0,0.6,,,,,,,,,
Imperial/Strong Porter,0.9,0.7,0.6,0,0.6,,,,,,,,,
Wheat Ale,0.3,0.3,0.3,0,0.5,,,,,,,,,
Black IPA,0.8,0.6,0.8,0,0.6,,,,,,,,,
Premium Lager,0.2,0.2,0.2,0,0.3,,,,,,,,,
Weizen Bock,0.7,0.7,0.4,0,0.6,,,,,,,,,
Saison,0.3,0.5,0.4,0,0.7,,,,,,,,,
Stout,0.8,0.5,0.5,0,0.5,,,,,,,,,
Lambic - Fruit,0.6,0.5,0.3,0.2,0.5,,,,,,,,,
Saké - Nigori,0,0.5,0,0,0.5,,,,,,,,,
Abbey Dubbel,0.7,0.7,0.4,0,0.7,,,,,,,,,
Eisbock,0.8,0.9,0.4,0,0.6,,,,,,,,,
Belgian White (Witbier),0.2,0.4,0.3,0,0.7,,,,,,,,,
Saké - Junmai,0,0.5,0,0,0.6,,,,,,,,,
Sour Ale/Wild Ale,0.5,0.4,0.3,0.7,0.5,,,,,,,,,
Sweet Stout,0.8,0.7,0.3,0,0.5,,,,,,,,,
India Pale Ale (IPA),0.6,0.6,0.8,0,0.6,,,,,,,,,
Scotch Ale,0.6,0.6,0.4,0,0.6,,,,,,,,,
German Hefeweizen,0.4,0.4,0.3,0,0.8,,,,,,,,,
Specialty Grain,0.5,0.5,0.4,0,0.8,,,,,,,,,
Cider,0,0.7,0,0,0.3,,,,,,,,,
American Pale Ale,0.5,0.6,0.7,0,0.6,,,,,,,,,
Baltic Porter,0.8,0.7,0.4,0,0.6,,,,,,,,,
Berliner Weisse,0.2,0.2,0.2,0.6,0.6,,,,,,,,,
Dunkelweizen,0.7,0.5,0.3,0,0.6,,,,,,,,,
Bohemian Pilsener,0.2,0.2,0.6,0,0.6,,,,,,,,,
Strong Pale Lager/Imperial Pils,0.4,0.7,0.7,0,0.6,,,,,,,,,
Traditional Ale,0.6,0.6,0.4,0,0.7,,,,,,,,,
Smoked,0.7,0.4,0.4,0,0.5,,,,,,,,,
Heller Bock,0.3,0.6,0.5,0,0.5,,,,,,,,,
Barley Wine,0.7,0.8,0.8,0,0.6,,,,,,,,,
Dunkler Bock,0.7,0.7,0.5,0,0.6,,,,,,,,,
English Pale Ale,0.4,0.5,0.5,0,0.6,,,,,,,,,
Fruit Beer,0.5,0.5,0.3,0,0.5,,,,,,,,,
Dortmunder/Helles,0.2,0.4,0.2,0,0.4,,,,,,,,,
Brown Ale,0.5,0.4,0.4,0,0.5,,,,,,,,,
Bière de Garde,0.3,0.4,0.3,0,0.8,,,,,,,,,
Pale Lager,0.1,0.2,0.1,0,0.3,,,,,,,,,
Golden Ale/Blond Ale,0.2,0.3,0.4,0,0.5,,,,,,,,,
English Strong Ale,0.7,0.7,0.5,0,0.6,,,,,,,,,
Vienna,0.7,0.5,0.4,0,0.6,,,,,,,,,
Oktoberfest/Märzen,0.6,0.5,0.4,0,0.5,,,,,,,,,
Schwarzbier,0.8,0.4,0.4,0,0.5,,,,,,,,,
Kölsch,0.2,0.3,0.4,0,0.5,,,,,,,,,
California Common,0.3,0.4,0.5,0,0.5,,,,,,,,,
Belgian Ale,0.4,0.6,0.5,0,0.7,,,,,,,,,
Zwickel/Keller/Landbier,0.3,0.3,0.4,0,0.5,,,,,,,,,
Mead,0.4,1,0,0,0,,,,,,,,,